"Total energy consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 AK ,59303,70020,76642,78488,82793,85319,100481,112625,119992,154232,179470,198395,211964,194968,199194,229676,251979,289893,320731,296592,291985,275504,405103,433409,478019,469166,498563,493105,514932,570067,577270,596366,620875,614626,613753,694594,709979,701267,715652,719766,735260,726418,723166,722838,765107,788012,738306,714615,642737,631141,629323,631768,620717,587689,585727,603471,582349,590557,593777,595801,626207,684975,730277,746978
 AL ,842283,806682,853424,885811,949411,1011125,1055347,1100904,1208038,1298562,1349405,1338719,1430589,1479232,1493276,1465789,1503723,1584720,1589735,1600732,1597446,1560204,1450995,1395242,1493906,1475311,1458334,1541794,1616129,1638956,1599432,1618216,1691870,1744734,1822330,1907458,1935016,1903449,1946380,2002228,2065056,1859587,1920029,1897040,2017765,2018912,2050932,2067485,1976589,1749863,1906324,1882660,1863224,1882183,1930039,1880980,1895651,1867860,1912733,1883685,1795668,1927858,1904247,1860171
 AR ,417153,423192,446994,474761,515874,515759,553146,581814,620382,664066,691896,682389,725860,801202,777116,763584,818585,867684,863565,849130,834372,801407,768781,770586,774080,768517,739016,718177,801908,863033,829674,818074,847533,912973,951014,1002777,1025669,1039783,1061551,1083254,1124742,1078834,1095219,1083763,1069229,1094815,1103064,1108782,1082215,1019337,1108861,1114972,1064636,1092194,1108392,1043382,1036535,1043618,1102555,1077563,1012312,1057206,1058036,1049897
 AZ ,273431,294660,313581,337213,357961,362858,390820,400280,442172,481370,502886,534558,595492,648638,650824,634126,667849,720003,724401,761540,729272,762578,717832,726638,772368,813921,822415,838472,881963,912149,912983,923446,954555,968200,1020281,1051644,1112722,1125743,1185968,1235022,1289942,1302269,1298175,1319572,1372363,1411695,1457800,1466903,1433406,1351254,1404430,1430525,1405648,1422635,1424922,1443936,1465473,1465780,1477247,1495891,1439270,1482635,1512022,1526567
 CA ,3360697,3513822,3623382,3825677,4112125,4267121,4525141,4703411,4979463,5206803,5349033,5585821,5709669,5890331,5651469,5852102,6017642,6232973,6313568,6565989,6383232,6183021,5899763,5907152,6351329,6439167,6335080,6795178,7018321,7265036,7120826,7011231,7020561,6715658,6974865,6837236,6926290,7063176,7331105,7365674,7504612,7610078,7595049,7454129,7835668,7741970,7785762,7923319,7748640,7429624,7269474,7186089,7072294,7141028,7053028,7136949,7136403,7145251,7292387,7231426,6432232,6778725,6855767,6816746
 CO ,417013,453816,459822,457373,488833,498729,521816,543833,611043,635561,663966,676838,740855,786248,768388,765161,800732,820659,831741,836818,818498,795488,807902,804336,841649,846243,835101,845282,881005,892223,933527,980904,984390,1048764,1053680,1075533,1125733,1119835,1172701,1191909,1257656,1358653,1358529,1360444,1388345,1419633,1432297,1463502,1451814,1430787,1480944,1426494,1394248,1420259,1431962,1439256,1394462,1398847,1447460,1484292,1346989,1386460,1427520,1368260
 CT ,496298,505953,523254,532247,549692,554317,593831,606150,630827,647335,673492,660770,695699,721282,690428,666939,721053,731889,748555,735534,708289,676092,673204,662588,691613,702339,717725,744352,778584,790516,772489,772348,807110,793436,796851,779891,807830,796695,783855,829664,841087,826501,811464,888123,903011,871777,816420,838749,770340,763039,767391,740235,726431,744609,748682,754318,721597,724034,750341,729892,664819,698947,717542,688978
 DC ,115737,113840,115913,116637,127494,153758,164156,176165,175877,188885,199069,192227,181958,186586,164342,156103,157938,158285,153934,146139,146689,143116,156109,154037,158980,158697,167001,167535,169107,173198,180636,186181,187410,194596,189663,191627,183930,180824,182578,185034,194839,190410,191595,188466,196183,196028,181712,189393,178021,180615,184241,174692,163794,166316,170057,169442,163726,155197,162007,157329,132167,139881,141151,135231
 DE ,153726,147678,158977,169737,169803,180486,188475,182891,201693,213604,213921,216325,226448,240308,222261,212526,223383,223234,220704,239047,236880,190684,181170,191692,214173,209389,210957,222263,229414,235488,251171,254456,260364,265800,261025,262221,271563,271024,271046,283315,303879,290543,304848,300832,287001,297787,285714,291538,288650,255701,263028,281046,279916,276655,276390,280223,276692,274259,292745,291587,263799,281104,275185,268494
 FL ,783376,820633,917001,962029,1013935,1071226,1138189,1174126,1297961,1393446,1513915,1603057,1730274,1917545,1842485,1853431,1982044,2153266,2244444,2339943,2426745,2400474,2303770,2349196,2446324,2601036,2677412,2779486,2960574,3143302,3275218,3236549,3306983,3338698,3458320,3604864,3677088,3699302,3850212,3907612,4067861,4051572,4161068,4180999,4334599,4406875,4460801,4405230,4250476,4099568,4306461,4152538,4053146,4113052,4158101,4309044,4344665,4324444,4412536,4338168,3954655,4256909,4334307,4301743
 GA ,681860,686173,742616,781362,833715,890335,969858,1030780,1120406,1189279,1240557,1305275,1391743,1510176,1445621,1438784,1504233,1589996,1634584,1682673,1668806,1648041,1623407,1688045,1813511,1874526,1891913,1995372,2091376,2160879,2188433,2176941,2217975,2373461,2395160,2578340,2726850,2709444,2744268,2779826,2901427,2797716,2912009,2923139,3065310,3080403,3067394,3061401,2926774,2884852,3117670,2999215,2817024,2868107,2940286,2945148,2910005,2880666,2946672,2903162,2656941,2763082,2842621,2838817
 HI ,94640,113578,108141,114103,122620,129824,144691,163104,182141,190159,196184,211042,217426,223651,211458,213754,219397,232732,236388,255980,261744,236151,217460,220552,231705,247820,244655,248796,289021,309045,320661,294400,305433,281060,296649,294338,280503,270917,270821,267015,270704,267970,283505,299086,312623,322560,324507,334047,272843,272233,293799,297688,290679,293465,285390,288390,289064,295483,294240,296556,219357,255846,270303,272874
